Date,FundingRate,OpenInterestUSD,OI_Change_Pct
2026-07-08,4.247e-05,6296278784.3424,-0.04233755103607462
2026-07-09,5.895666666666667e-05,6248314221.953,-0.007617922273181144
2026-07-10,8.604333333333334e-05,6329051472.724009,0.012921445353587302
2026-07-11,5.032666666666667e-05,6665459777.991,0.05315303670965443
2026-07-12,6.181333333333333e-05,6467203161.257036,-0.02974387714236859
2026-07-13,5.459e-05,6418319591.25,-0.007558687857508795
2026-07-14,5.7783333333333326e-05,6686095881.528,0.04172062273792898
2026-07-15,8.152333333333333e-05,6851145712.627,0.024685531590264986
2026-07-16,5.3706666666666665e-05,6666039336.797489,-0.027018309578257904
2026-07-17,5.0679999999999996e-05,6492865497.457071,-0.025978520466339527
2026-07-18,4.451666666666667e-05,6401812818.948,-0.014023496797328061
2026-07-19,4.1819999999999996e-05,6572983839.0083,0.02673789829556883
2026-07-20,5.5620000000000006e-05,6623104789.6384,0.007625296495124445
2026-07-21,5.406666666666666e-05,6605274763.2935095,-0.0026920948575032133
2026-07-22,3.606333333333333e-05,6939780491.3814,0.050642212485510596
2026-07-23,2.7953333333333332e-05,6756421156.070681,-0.026421489201054138
2026-07-24,6.208666666666667e-05,6805304178.103276,0.007235046617642293
2026-07-25,4.076e-05,6803700116.8152,-0.00023570750786383599
2026-07-26,5.193666666666666e-05,6917476416.904509,0.016722709428082183
2026-07-27,5.879666666666667e-05,6821873937.9154,-0.013820427165531224
2026-07-28,3.6740000000000004e-05,6729450397.131,-0.013548116195861937
2026-07-29,7.888333333333333e-05,6598257390.1692,-0.019495352401695643
2026-07-30,8.256333333333334e-05,6674049577.761,0.01148669764000454
2026-07-31,8.356333333333335e-05,6902141264.728566,0.034175905394470574
2026-08-01,3.610333333333333e-05,6884630899.8222,-0.0025369467582253558
2026-08-02,7.06e-05,6813971110.569,-0.010263409946207003
2026-08-03,6.279333333333334e-05,6934992824.45,0.017760819926765592
2026-08-04,5.671e-05,6893003948.116,-0.00605463875693768
2026-08-05,1.7883333333333335e-05,6934623587.2912,0.006037953770006821
2026-08-06,4.6135000000000005e-05,6922603001.0048,-0.0017334158278510259
