Date,open,high,low,close,volume,rsi,sma_20,ema_50,macd,macd_signal,bb_upper,bb_lower,daily_return,return_lag1,return_lag2,volume_lag1,FundingRate,OI_Change_Pct,target
2016-10-19 00:00:00+00:00,638.1339721679688,638.8740234375,628.0130004882812,630.52001953125,69381696,56.4445342398767,624.8415985107422,612.7605590820312,7.980182081680027,7.336715800927745,650.2204922456566,599.4627047758278,-0.011662176602227792,-0.0019289497923044019,-0.0037996735690011274,65546700.0,0.0,0.0,1
2016-10-20 00:00:00+00:00,630.6630249023438,631.9169921875,628.2579956054688,630.8569946289062,56957300,56.74009228414783,625.8976989746094,613.4702232211245,7.289635735440015,7.327299787830199,650.3714763044701,601.4239216447487,0.0005344399657709609,-0.011662176602227792,-0.0019289497923044019,69381696.0,0.0,0.0,1
2016-10-21 00:00:00+00:00,630.8250122070312,634.093994140625,630.6939697265625,632.8280029296875,55951000,58.513396832247246,626.8399505615234,614.2293518371465,6.822768055280676,7.226393441320295,650.8285401888363,602.8513609342106,0.0031243345442188986,0.0005344399657709609,-0.011662176602227792,56957300.0,0.0,0.0,1
2016-10-22 00:00:00+00:00,633.135986328125,658.197021484375,632.8499755859375,657.2940063476562,78556496,73.19935414304925,629.1600494384766,615.9181618179508,8.330940167640279,7.4473027865842925,655.5133381898851,602.806760687068,0.0386613792447601,0.0031243345442188986,0.0005344399657709609,55951000.0,0.0,0.0,0
2016-10-23 00:00:00+00:00,657.6209716796875,661.1290283203125,653.885986328125,657.0709838867188,54474600,72.9458615364106,631.4069488525391,617.5319979775104,9.39982604035265,7.837807437337965,659.2674424555851,603.5464552494932,-0.0003393039625855243,0.0386613792447601,0.0031243345442188986,78556496.0,0.0,0.0,0
2016-10-24 00:00:00+00:00,657.1610107421875,657.2520141601562,652.594970703125,653.760986328125,62218200,69.12003103196115,633.584799194336,618.952742618711,9.866106322956398,8.243467214461651,661.2758016570936,605.8937967315785,-0.005037503770162544,-0.0003393039625855243,0.0386613792447601,54474600.0,0.0,0.0,1
2016-10-25 00:00:00+00:00,654.0020141601562,664.4240112304688,653.697998046875,657.5880126953125,90378800,71.01301353476114,635.8386505126954,620.467851249166,10.424281225251093,8.67963001661954,663.6451697670834,608.0321312583073,0.005853861651613945,-0.005037503770162544,-0.0003393039625855243,62218200.0,0.0,0.0,1
2016-10-26 00:00:00+00:00,657.677978515625,679.72802734375,657.677978515625,678.3040161132812,88877104,78.64449421607974,639.1028015136719,622.735936145798,12.395361193721556,9.422776252039945,670.6998707456106,607.5057322817332,0.031503012551975074,0.005853861651613945,-0.005037503770162544,90378800.0,0.0,0.0,1
2016-10-27 00:00:00+00:00,678.2139892578125,688.593994140625,678.0399780273438,688.31298828125,96105296,81.21743000718975,642.66240234375,625.307585249149,14.596833465110763,10.457587694654109,679.4471437504158,605.8776609370843,0.01475587926682298,0.031503012551975074,0.005853861651613945,88877104.0,0.0,0.0,1
2016-10-28 00:00:00+00:00,688.0,690.4439697265625,684.1619873046875,689.6510009765625,81145504,81.53765946473813,646.1895538330078,627.8308564541456,16.262024052690208,11.61847496626133,686.7944742599944,605.5846334060212,0.0019439015652655822,0.01475587926682298,0.031503012551975074,96105296.0,0.0,0.0,1
2016-10-29 00:00:00+00:00,690.2890014648438,720.4019775390625,690.052001953125,714.47900390625,134760992,86.22933052436798,651.0759033203125,631.2288230208948,19.361919771792373,13.167163927367538,699.5276371913301,602.6241694492949,0.03600082200204224,0.0019439015652655822,0.01475587926682298,81145504.0,0.0,0.0,0
2016-10-30 00:00:00+00:00,714.1179809570312,714.1179809570312,696.4749755859375,701.864013671875,100665000,75.7028574307301,655.2194030761718,633.9988304974038,20.56364033334046,14.646459208562122,706.2256420448027,604.2131641075409,-0.01765620846155791,0.03600082200204224,0.0019439015652655822,134760992.0,0.0,0.0,0
2016-10-31 00:00:00+00:00,702.6400146484375,709.2890014648438,691.6820068359375,700.9719848632812,97064400,75.00559196090052,658.2144012451172,636.6252287078304,21.199656818958033,15.957098730641306,712.6425731664895,603.7862293237449,-0.0012709425062655821,-0.01765620846155791,0.03600082200204224,100665000.0,0.0,0.0,1
